Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
i-Berhad,Kuala Lumpur,1,103235193,Seremban Bus terminal,18343,Selangor State Park,624,Berjaya Times Square,Leasehold,2,REN 65640,"Barbeque area, Playground, Swimming Pool, Parking, Security",2003,188000,MRSM Tun Ghafar Baba,Flat
HR Group,Kuala Lumpur,2,101065984,"Bus Stop Sentul West
Bus Stop 2 Riverwalk Village
Bus Stop Bukit Tunku (Utara)
Bus Stop 1 Riverwalk Village
Bus Stop Bukit Tunku (Utara) (Opp)
Bus Stop 1 Sri Thandayuthapani Temple
Bus Stop Tijani 2 Bukit Tunku
Bus Stop 2 Sri Thandayuthapani Temple
Bus Stop Kompleks Sukan Negara (Opp)
Bus Stop Kompleks Sukan Negara
Bus Stop Million Garden
Bus Stop Golden Garden
Bus Stop Segambut Garden (North)
Bus Stop Arkid Negara
Bus Stop 2 Menara TKSS",11670,"Park at Million Garden, Sentul, Kuala Lumpur, Malaysia",934,Berjaya Times Square,Freehold,3,REN 16852,"Tennis Court, Gymnasium, Squash Court, Playground, Parking, Minimart, Lift, Security",1996,600000,Sri Dhandayuthapani Primary School,Service Residence
YTL Land & Development,Kuala Lumpur,2,99044462,"Bus Stop D7 Sentul
Bus Stop D6 Sentul
Bus Stop SMK La Salle
Bus Stop SJKC Sentul KL
Bus Stop The Fennel Sentul East
Bus Stop Sentul Boulevard (West)
Bus Stop 1 Sri Thandayuthapani Temple
Bus Stop 2 Sri Thandayuthapani Temple
Bus Stop Sentul West
Bus Stop Fennel Sentul
Bus Stop SMK Convent Sentul
Bus Stop Perumahan Sri Negeri Sembilan
Bus Stop Sri Terengganu Flat
Bus Stop Sentul Boulevard (North)
Bus Stop Menara Orkid/Utc Sentul
Bus Stop 1 Riverwalk Village
Bus Stop Sentul
Bus Stop Golden Garden
Bus Stop Perumahan Awam Seri Terengganu
Bus Stop SMK Convent Sentul (Opp)
Bus Stop 2 Riverwalk Village
Bus Stop IPD Sentul
Bus Stop LRT Sentul Timur
Bus Stop Sentul Market
Bus Stop Million Garden
Bus Stop Pangsapuri Sri Perak
Bus Stop Amru Sentul Mosque
Bus Stop Makpem
Bus Stop Flat Sri Perak",11670,Penang National Park,1085,One Utama,Freehold,3,REN 16852,"Tennis Court, Multipurpose hall, Gymnasium, Barbeque area, Lift, Swimming Pool, Minimart, Sauna, Parking, Playground, Squash Court, Club house, Jogging Track",2019,560000,SK dan SMK La Salle Sentul,Service Residence
Mah Sing Group Berhad,Kuala Lumpur,1,98233164,Terminal Sentral Kuantan Bus terminal,11670,Penang National Park,1234,One Utama,Leasehold,3,REN 16852,Parking,2011,770000,MRSM Tun Ghafar Baba,Condominium
Mitraland Group,Selangor,2,103796721,KL Central,11584,"Park at Cricket Pitch, Kampung Pendamar
Park at Taman Kampung Pendamar, Klang Municipal Council
Park at Botanik Walk Park, Bandar Botanic",635,The Exchange TRX,Freehold,1,E 11584,"Tennis Court, Multipurpose hall, Sauna, Lift, Gymnasium, Barbeque area, Parking",2008,350000,Sekolah Seni Malaysia,Service Residence
Country Garden Danga Bay Sdn. Bhd.,Johor,1,103796707,KL Central,77778,Gunung Ledang National Park,818,The Exchange TRX,Freehold,2,REN 55792,"Security, Multipurpose hall, Tennis Court, Squash Court, Parking, Minimart, Swimming Pool, Lift, Gymnasium, Club house, Playground, Sauna, Barbeque area, Jogging Track",2003,488000,MRSM Tun Ghafar Baba,Condominium
Country Garden Danga Bay Sdn. Bhd.,Johor,2,103796697,Seremban Bus terminal,71204,Penang National Park,818,One Utama,Freehold,2,REN 71203,"Parking, Playground, Tennis Court, Sauna, Swimming Pool, Multipurpose hall, Club house, Jogging Track, Minimart, Gymnasium, Barbeque area, Security, Lift",2009,488000,SMK Bukit Jambul,Condominium
Country Garden Danga Bay Sdn. Bhd.,Johor,1,103796684,Terminal Sentral Kuantan Bus terminal,77778,Selangor State Park,818,The Exchange TRX,Freehold,2,REN 32423,"Barbeque area, Tennis Court, Multipurpose hall, Lift, Playground, Gymnasium, Minimart, Jogging Track, Parking, Squash Court, Sauna, Swimming Pool",2014,488000,SM Sains T. Munawir,Condominium
Maxim Holdings,Sabah,1,103796787,Pudu Sentral,11605,Penang National Park,608,Berjaya Times Square,Leasehold,2,REN 37979,"Security, Swimming Pool",2014,265000,SMK Bukit Jambul,Apartment
Kenwingston Seven Up Sdn Bhd,Selangor,1,103796785,Bus Stop at Jalan Fauna 1,11307,Gunung Ledang National Park,815,Sunway Pyramid,Freehold,3,REN 38137,"Playground, Barbeque area, Security, Club house, Minimart, Lift, Squash Court, Gymnasium, Multipurpose hall, Sauna, Jogging Track, Parking, Swimming Pool",2007,485000,Sekolah Seni Malaysia,Service Residence
